기업명,상태,기업소개,증권구분,모집가액,청약금액,발행금액,발행일,업종,청약률,청약자수,중개업자,임직원수,자산총계,부채총계,자본총계,자본금,매출액,영업이익,당기순이익
한국영화승리호,종료,‘20년 9월 개봉확정작 <승리호>에 크라우드펀딩을 통한 프로젝트 투자의 목적으로 설립된 법인입니다.,채권,"300,000,000","220,900,000",0,2020-09-09,IT·영상,74%,225,크라우디,1,,,,,,,
웜플,성공,"웜플은 건강하고 깨끗한 제품을 통하여 우리사회에 도움이 되고자 하는 가치를 지닌 청년 기업입니다. InnerBeauty를 위해, 건강과 아름다움을 추구하시는 고객분들게 최고의 제품으로 보답하기 위하여 항상 끊임없는 연구와 개발을 합니다.",채권,"20,000,000","20,000,000","20,000,000",2020-09-07,제조,100%,12,오마이컴퍼니,6,"71,452,713","179,588,303","-108,135,590","12,000,000","102,136,454","6,161,689","3,345,667"
큐빅아이,성공,"큐빅아이는 독창적인 신용평가시스템을 기반으로 온라인 소상공인을 대상으로 간편 금융서비스를 제공하는 혁신 금융 플랫폼 서비스입니다.  인공지능 기반 데이터 수집에서 분석, 가공, 타 시스템 연동까지 유연하고 확장성 있는 사업모델로 새로운 핀테크 시대를 선도합니다. ",주식,"51,750,000","56,873,250","51,750,000",2020-09-03,IT·영상,110%,31,와디즈파이낸스,6,"352,812,640","247,910,146","104,902,494","85,000,000","170,046,449","-174,346,767","-17,328,603"
이로츠,성공,"6~13세 아이들을 위한 학습콘텐츠를 공유/거래하는 플랫폼입니다. 학원과 학교에서 제공 못하는 다양한 주제의 클래스, 활동지, 굿즈를 판매하고 있습니다. ",주식,"100,000,000","102,000,000","100,000,000",2020-08-27,IT·영상,102%,56,와디즈파이낸스,4,"44,908,155","103,064,030","-58,155,875","1,000,000","35,878,000","-63,908,544","-59,155,875"
씨씨피에프앤비,성공,당사는 30 년 동안 외식업에 대한 개인적인 경험(강남논현삼계탕)을 쌓아 명성을 이어가는 레토르트 파우치에 담긴 신제품 '논현 삼계탕'을 출시한 회사입니다.,주식,"50,017,500","51,402,000","50,017,500",2020-08-20,도소매,103%,38,와디즈파이낸스,4,"39,240,970","1,545,430","37,695,540","50,000,000",,"-1,373,814",
휴마코스,성공,"휴마코스는 노화를 개선을 통해 과거의 젊고 건강한 피부로의 변화로 행복한 삶을 추구 하는데 도움을 주고자 사물인터넷과 헬스케어 그리고, 천연화장품이 결합된 항노화 디바이스를 개발·제조·생산하는 기업입니다.",주식,"70,000,000","70,000,000","70,000,000",2020-08-20,제조,100%,32,와디즈파이낸스,4,"390,897,525","388,931,407","1,966,118","95,275,000",,"-79,952,036","-84,985,932"
반려동물,성공,애견 유치원 프랜차이즈 사업을 위주로 애견훈련 및 훈련사 양성프로그램 교육을 진행하고 있습니다.,주식,"70,080,000","74,022,000","70,080,000",2020-08-15,교육,106%,35,와디즈파이낸스,9,"142,180,308","246,678,340","-104,498,032","5,000,000","191,748,889","-130,143,823","-23,972,499"
마이크로발전소,성공,마이크로발전소는 언제 어디서나 쉽게 가전제품처럼 태양광의 혜택을 활용할 수 있는 플러그인태양광 발전 시스템을 전문으로 공급하는 회사입니다.,채권,"50,000,000","54,800,000","50,000,000",2020-08-12,기타,110%,13,오마이컴퍼니,14,"971,406,000","510,227,884","461,178,116","300,000,000","959,798,512","23,599,919","48,364,508"
소무나,성공,"""소중만 무공해 나라를 만드는"" 소셜 벤처기업 
당사가 개발한 배터리 시스템을 콜드체인 시스템 전반에 적용하여, 우리나라뿐만 아니라 전 세계적인 환경문제 해결에 일조하는 기업이 되고자 합니다.",주식,"500,000,000","1,039,420,000","500,000,000",2020-08-13,제조,208%,413,와디즈파이낸스,5,,,,,,,
와이즈핀,성공,"인텔렉추얼디스커버리㈜는 2010년에 설립된 국내 최초의 지식재산 전문기업으로, 4차산업 관련 핵심 지식재산권(IP)을 확보하고 특허의 가치를 제고하여 특허 라이센싱, 소송, 기술사업화 등의 다양한 수익화 프로젝트를 진행하고 있습니다.",채권,"300,000,000","320,700,000","300,000,000",2020-08-12,기타,107%,179,와디즈파이낸스,1,,,,,,,
쉐코,성공,"주)쉐코는 청정바다를 공유하는 기업으로 사고 처리 과정의 혁신을 통해 해양 모든 이해관계자들에게 이익을 주며, 더 나아가 미래세대에게 더 나은 환경을 전달할 것입니다. 2027년까지 현 수준보다 해양 기름 유출 직접 피해를 10% 절감하는 비전을 가지고 있습니다. ",주식,"499,986,000","528,945,000","499,986,000",2020-08-13,제조,106%,209,와디즈파이낸스,6,"32,431,943","13,660,664","18,771,279","10,000,000","8,097,355","-57,491,531","8,771,279"
에코인에너지,성공,에코인에너지는 폐플라스틱을 자연친화적 방법으로 재활용 할 수 있는 기술을 연구하고 있습니다.  ,주식,"499,995,000","1,265,280,000","499,995,000",2020-08-13,제조,253%,487,와디즈파이낸스,7,"441,972,413","333,158,952","108,813,461","100,000,000","145,267,536","9,558,622","2,381,424"
케어슨,종료,방사선 저감과 차폐에 관한 연구와 제품 개발,주식,"50,000,000","900,000",0,2020-08-12,제조,2%,3,펀딩포유,2,"1,356,013,006","962,761,561","393,251,445","306,030,000","788,412,674","46,843,783","39,445,905"
삼정하누,성공,프리미엄 한우를 판매하는 식당서비스업 입니다.,주식,"450,000,000","493,800,000","450,000,000",2020-08-11,기타,110%,147,와디즈파이낸스,23,"731,919,608","805,649,076","-73,729,468","62,910,000","2,218,784,888","-360,176,000","-319,686,279"
케이에스아이,종료,"KSI는 지난 30년 동안 한 가지 목표에 전념해왔다. 그 회사는 세상을 더 안전하게 만들기 위해 생각을 바꾸고 있다. 금속을 용광로에서 가열하여 두들겨 패서 굳어지는 것과 마찬가지로, 한 가지 일에 전념하고 있으며, 환경 친화적이고 안전한 제품을 만들기 위해 장인의 정신과 전문성으로 최선을 다하고 있다.",채권,"54,000,000",0,0,2020-08-05,제조,0%,0,한국크라우드투자,30,"19,031,767,596","11,260,782,858","7,770,984,738","1,357,350,000","21,305,608,588","1,069,019,529","1,086,429,217"
미트라자사리마코리아,성공,"인도네시아 지방거주 고객들이 지방은행 창구를 통해, 핀테크 회사, 시중은행의 금융상품과 서비스를 편리하게 이용할 수 있는 플랫폼입니다. 저희가 제공하는 은행 텔러용 웹화면과 대고객 모바일 앱을 통해 지방에 거주하는 1억명의 잠재고객들이 다양한 금융 혜택을 받을 수 있습니다.     ",주식,"20,000,000","23,200,000","20,000,000",2020-08-06,IT·영상,116%,11,펀딩포유,2,,,,,,,
라사,성공,주식회사 라사는 축구교육서비스 업체로 유소년 축구교육에서부터 축구 선수 해외 진출에 이르기까지 대한민국의 축구발전 및 세계진출을 목표로 하는 회사입니다.,주식,"50,000,000","50,000,000","50,000,000",2020-08-01,교육,100%,30,와디즈파이낸스,13,"354,946,340","1,113,696,625","-758,750,285","334,840,000","333,710,970","-240,242,918","-310,544,317"
에스와이제이,성공,에스와이제이는 미디어컨텐츠와 미얀마현지 공장의 봉제의류 생산의 효율적인 결합방식으로 자사의 브랜드제품을 판매하는 여성 온라인 쇼핑몰 전문 업체 입니다. ,채권,"250,000,000","292,000,000","250,000,000",2020-07-30,제조,117%,92,아시아크라우드펀딩,15,"1,615,737,292","5,053,989,424","-3,438,257,110","4,983,287,500","974,714,676","-1,335,128,414","-1,745,536,078"
베른,성공,"에이스캠퍼(주)는 RV(레저자동차)제조 기술력을 인정받아 중국에서 기술료를 받고 합자회사를 설립 하였으며, RV[캠핑카]를 공유하여  캠핑카 있는 사람도 없는 사람도 RV를 활용한 레저를 쉽게 접하고 즐길수 있도록 RV레저 생태계를 구축합니다.  ",주식,"270,000,000","313,976,000","270,000,000",2020-07-25,제조,116%,144,와디즈파이낸스,33,"3,781,054,243","3,264,063,272","516,990,971","310,000,000","3,586,164,729","-191,513,906","-234,788,427"
엠엠코리아,성공,"엠엠코리아는 풍요로운 삶의 꿈과 이상을, 아름답고 소중한 가치 그대로 기억되게 하는 LED 생활 문화를 선도하는 기업입니다. 최고의 기술력, 최고의 품질, 최고의 서비스를 바탕으로 뷰티 디바이스 분야 국내 최고기업을 목표로 달려가겠습니다.",채권,"50,000,000","55,000,000","50,000,000",2020-07-22,제조,110%,38,와디즈파이낸스,11,"2,243,786,213","1,291,292,017","952,494,196","150,000,000","6,520,453,513","662,403,590","555,050,775"
벚꽃상회,성공,(주)벚꽃상회는 과일원물 및 과일가공식품 판매를 통해 진해지역의 도시재생을 이끄는 예비사회적기업입니다.,채권,"35,000,000","32,000,000","32,000,000",2020-07-22,도소매,91%,8,오마이컴퍼니,3,"28,717,189","27,714,798","1,002,391","15,092,449","126,658,999","-11,406,758","544,718"
코빠밀뉴,성공,당사는 제주공항 면세점에 입점한 병행수입업체입니다.,주식,"250,800,000","251,301,600","250,800,000",2020-07-23,기타,100%,103,와디즈파이낸스,14,"2,488,959,935","1,762,382,722","726,577,213","300,000,000","9,057,854,195","528,234,650","426,577,213"
지엠씨랩스,성공,"주식회사 지엠씨랩스는
디지털자산에 특화된 트레이딩 시스템 개발 기업으로서, 
전문적인 자산운용 기술과 자체개발한 시스템을 통해 
디지털자산 시장에서 변화를 혁신을 창출합니다.

끊임없는 로직연구와 기술개발을 통해 
업계 최고 수준의 알고리즘 역량으로 
차별화된 경쟁력을 보유하고 있습니다.

지엠씨랩스는 고객에게 트레이딩 그 이상의 가치를 제공합니다.",주식,"150,000,000","140,000,000","140,000,000",2020-07-22,IT·영상,93%,27,오픈트레이드,8,,,,,,,
아트블렌딩퀘이형제,성공,"역량 있는 작가를 발굴, 다양한 작가 지원 컨설팅을 운영하는 Art Management Company입니다. 국내외 아티스트에게 전시활동 및 기업 콜라보, 아트상품제작, 문화 행사 등을 연계하는 매니지먼트 역할을 합니다.",채권,"50,000,000","52,800,000","50,000,000",2020-07-20,IT·영상,106%,49,크라우디,1,,,,,,,
네오탑,성공,네오탑은 의료기기와 건강관련 제품의 제조 및 수출입 전문회사로서 세계 20여개국에 판매 체제를 구축하고 있습니다. 앞으로도 국민의 생명과 환경을 생각하는 기업으로 여러분과 함께 발전해 나갈 것입니다,주식,"50,058,000","45,732,000","45,732,000",2020-07-15,제조,91%,33,와디즈파이낸스,6,"377,922,524","195,624,800","182,297,724","170,000,000","511,532,029","-83,233,717","-6,230,817"
세븐브로이양평,성공,"한강 상류 양평군에 위치하고 있어 우수한 수질을 확보하고 있으며,
소규모 맥주제조 면허를 보유 업체 중 가장 전문화되고 청결한 양조시설을 보유하고 있음
병맥주 및 캔맥주를 주로 생산하고 있음",주식,"499,618,000","540,644,000","499,618,000",2020-07-14,제조,108%,334,와디즈파이낸스,11,"5,052,370,213","4,336,226,140","716,144,073","177,870,000","875,649,206","-528,351,802","-660,029,405"
하스퍼,성공,㈜하스퍼는 4차산업혁명 시대의 중심인 고성능 컴퓨팅 기술과 인공지능 기술을 보유하고 인공지능(AI) 관련 제품을 상용화한 기업으로 산업현장에서 특수차량의 사고를 미연에 예방할 수 있는 인공지능 지게차 안전시스템과 인공지능 특수차량 안전관리 플랫폼을 개발하여 판매하고 있는 인공지능 분야 기술 선도 기업입니다. ,주식,"350,000,000","432,750,000","350,000,000",2020-07-08,제조,124%,236,와디즈파이낸스,7,"707,905,482","504,874,350","203,031,132","100,000,000","1,530,232,000","81,632,179","-77,075,622"
훌리악스페이스1호,종료,"(주)훌리악은 모든 사람이 함께 즐길 수 있는 미디어 공간을 만드는 것을 목표하여, 바라만 보는 전시를 직접 체험하는 전시로 변화시키고 있습니다. 그동안 미술관/박물관/과학관 등의 공공 문화 전시 시설에서 빛을 활용한 전시회를 진행하였습니다.",채권,"50,000,000","2,000,000",0,2020-07-03,IT·영상,4%,3,와디즈파이낸스,12,,,,,,,
아이부키,성공,"아이부키는 인간적인 건축을 고민하고 공동체가 숨쉴 수 있는 공간을 구현하며,  삶을 보다 멋지게 디자인하는 일을 하는 Social Housing Designer입니다. 수요자의 필요에 적합한 맞춤형 주택을 개발하고 공정한 도시재생사업을 이끌어갑니다",채권,"60,000,000","58,500,000","58,500,000",2020-06-26,기타,98%,20,오마이컴퍼니,4,"4,359,622,921","6,018,932,879","-1,659,309,958","210,000,000","717,071,146","-359,537,570","-417,770,482"
스마트골프아카데미,성공,스마트골프아카데미는 프라이빗 1:1고급 레슨을 받을 수 있는 프리미엄 골프레슨 브랜드입니다.,주식,"70,066,000","56,392,000","56,392,000",2020-06-27,기타,80%,45,와디즈파이낸스,2,"2,180,294,794","2,229,708,916","-49,414,122","50,000,000","412,236,299","-52,095,546","-64,890,707"
비앤홀딩스,성공,(주)비앤홀딩스는 국내 최초 유기농 브라질너트 수입업체입니다.,채권,"50,000,000","55,000,000","50,000,000",2020-06-25,도소매,110%,20,오마이컴퍼니,5,"481,263,569","102,704,649","378,558,920","360,000,000","502,252,801","13,860,016","13,539,851"
