기업명,상태,기업소개,증권구분,모집가액,청약금액,발행금액,발행일,업종,청약률,청약자수,중개업자,임직원수,자산총계,부채총계,자본총계,자본금,매출액,영업이익,당기순이익
제이알디웍스,종료,㈜제이알디웍스는 ICT기술과 돌봄 홈서비스가 접목된 스마트 홈조리원 서비스 똑똑 및 플랫폼을 운영합니다. ,주식,"30,000,000",0,0,2023-01-06,IT·영상,0%,0,오마이컴퍼니,3,"667,403,404","663,320,929","4,082,475","56,425,000","500,330,023","-169,880,133","-95,110,634"
알에프디바이스,성공,이동통신 소재부품에서 시스템까지 개발 / 생산하는 전문기업,주식,"300,000,000","244,000,000",0,2023-01-05,제조,81%,57,아시아크라우드펀딩,10,"5,189,335,052","3,386,857,967","1,802,477,085","500,000,000","1,828,302,051","19,365,938","188,108,741"
케이에이치트레이더스,성공,"케이에이치트레이더스는 보유한 해외 네트워크를 기반으로 태그호이어, 오메가 등 명품시계를 병행수입, 판매하는 회사입니다.",채권,"14,637,000","20,090,000",0,2022-12-28,도소매,137%,5,크라우디,6,"45,669,672","766,360","44,903,312","50,000,000",,"-5,107,400","-5,096,688"
코지샵,성공,당사는 커튼 및 블라인드를 개발하여 제조/판매하는 회사입니다. ,채권,"180,015,000","195,910,000","180,015,000",2022-12-27,도소매,109%,56,펀딩포유,15,"3,608,237,354","2,522,518,695","1,085,718,659","763,500,000","3,063,424,142","174,189,912","97,122,462"
힘난다,성공,"힘난다'는 맛있는 음식을 통해 사람들에게 건강한 에너지를 제공하는, 푸드테크 프랜차이즈 기업입니다. 현재 프리미엄 버거 프랜차이즈인 '힘난다버거'를 운영하고 있으며, 유산균 발효기술이라는 푸드테크 기술을 햄버거 패티와 번에 도입하여 '맛있고 건강한 햄버거'라는 새로운 버거의 트렌드를 시장에 알렸습니다. ",채권,"50,000,000","50,000,000","50,000,000",2022-12-23,제조,100%,22,크라우디,10,"3,799,285,037","1,763,740,760","2,035,544,277","640,089,000","4,060,548,239","-276,663,987","-86,153,117"
네오에스티지,성공,"다양한 공간에 꼭 필요한 공기살균청정 솔루션을 제공하고 있으며, 공기살균청정 브랜드‘네오큐어(NeoCure)’를 생산, 판매하고 있는 기업입니다.",채권,"130,000,000","139,320,000","130,000,000",2022-12-16,제조,107%,59,펀딩포유,6,"1,301,292,925","908,046,470","393,246,455","1,400,000,000","176,245,764","-246,809,162","-234,645,435"
어니스트초이스,성공,㈜어니스트초이스는 육가공 산업 및 한우 전문분야의 노하우와 R&D 혁신기술을 기반으로 부가가치를 창조하는 한국형 팩커 기업입니다.,주식,"500,000,000","533,100,000","500,000,000",2022-12-16,제조,107%,76,펀더풀,26,"4,959,804,595","4,367,472,535","592,332,060","500,000,000","8,452,076,942","-556,043,240","-503,733,636"
온공투영화유령,종료,영화 <유령> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"50,000,000","8,700,000",0,2022-12-15,IT·영상,17%,14,펀더풀,1,,,,,,,
팀스토리,성공,"(주)팀스토리는 국내,외 유명 기관과 기업에서 찾는 혁신적이고,미래지향적 메타버스 플랫폼 서비스를 제공하는 메타버스 플랫폼 선두 주자입니다",주식,"60,000,000","89,580,000","60,000,000",2022-12-20,IT·영상,149%,14,아시아크라우드펀딩,11,"1,036,662,209","25,843,930","1,010,818,279","1,000,000,000","88,415,000","-107,681","10,818,279"
도시모험가,성공,국내 캠핑 정보 플랫폼 ,채권,"70,000,000","59,000,000","59,000,000",2022-12-12,IT·영상,84%,24,크라우디,4,"36,648,195","5,542,727","31,105,468","10,350,000",,"-47,105,016","-47,926,532"
샐리쿡,성공,"샐리쿡은 암식이상담연구소와 푸드테크연구소의 집중연구로 연구, 논문, 특허, 인증을 받은 근거 있는 지식 집약 식품을 만듭니다. 병원 식사 컨설팅과 영양 상담으로 축적된 영양지식 노하우를 담아 한국형 지중해 간편식을 직접 제조하여 맛잇는 건강함을 담고 있습니다. ",주식,"50,017,500","65,521,500","50,017,500",2022-12-13,제조,131%,32,크라우디,8,"631,176,565","486,923,243","144,253,322","52,631,000","51,476,791","-79,646,561","163,042,012"
프라우들리,성공,프라우들리는 한국 전통의 공간이 한옥을 세련된 공간으로 바꾸고 있습니다. 전통적인 숙박 산업에 혁신을 추구합니다.,채권,"150,000,000","130,000,000","130,000,000",2022-12-08,기타,87%,62,펀더풀,11,"1,220,905,220","540,619,138","680,286,082","6,014,800","846,304,268","-127,107,937","38,684,873"
엠제이부티끄,성공,"기업컨설팅사업을 바탕으로 엠제이부티끄(주)를 설립하여 뷰티샵브랜드,코스메틱 제조 및 유통, 커피 프랜차이즈, 대형 외식 프랜차이즈, 일식 다이닝 브랜드를 런칭하며 브랜드 마케팅과 프랜차이즈 사업을 진행하고 있습니다.",주식,"50,000,000","151,750,000","50,000,000",2022-12-14,도소매,304%,32,아시아크라우드펀딩,15,"4,489,519,740","538,092,874","3,951,426,866","3,500,000,000","2,339,676,292","-88,895,155","38,788,089"
콘랩컴퍼니,종료,"카카오프렌즈, 무민 IP 라이선스 계약을 통한 테마파크 구축, 콘텐츠 제작 등 캐릭터 IP 사업, NH농협카드의 라이언 치즈와 어피치 스윗 체크카드, IBK기업은행 무민 체크 및 신용카드의 기획 및 마케팅을 담당하는 금융 제휴사업, 오모리 집밥을 런칭한 식품 브랜딩 사업을 영위하고 있습니다.",주식,"100,085,000","10,360,000",0,2022-12-08,예술·여가,10%,5,크라우디,21,"1,719,135,334","2,000,658,137","-281,522,793","362,385,000","744,271,842","-1,693,802,782","-1,585,668,220"
온공투영화압구정,성공,영화 <압꾸정>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"200,000,000","169,900,000","169,900,000",2022-12-05,IT·영상,85%,233,펀더풀,1,,,,,,,
밀알,성공,"밀알은 고용노동부에서 인증된 사회적기업으로서 전동침대(의료용 포함), 생활가구의 제조 및 판매하는 기업입니다. ",채권,"30,000,000","32,000,000","30,000,000",2022-12-05,제조,107%,7,오마이컴퍼니,17,"2,317,772,461","2,184,948,362","132,824,099","100,000,000","860,394,686","72,137,386","26,485,510"
액티부키,성공,액티부키는 기존의 아날로그적인 농촌 여행을 디지털화함으로써 새로운 농촌 여행 트렌드를 만들어가는 스타트업입니다.,주식,"50,042,000","100,084,000","50,042,000",2022-12-03,기타,200%,17,크라우디,9,"277,639,443","138,184,847","139,454,596","25,865,000","506,630,909","-29,455,708","10,331,222"
올마이투어,성공,"올마이투어는 여행업계 전문가들이 설립한 스타트업으로, 여행방법의 혁신을 통해 기존 산업의 문제를 해결하며 오늘보다 더 나은 여행을 만들기 위해 노력하고 있습니다.",주식,"120,384,000","128,304,000","120,384,000",2022-12-01,IT·영상,107%,65,크라우디,19,"1,192,355,915","221,021,852","971,334,063","189,000,000","4,675,651,095","223,139,960","255,744,641"
스프링클라우드,성공,"인공지능기반 자율주행 모빌리티 서비스와 데이터 분석 서비스를 제공하는 스타트업으로, 국내 최초로 자율주행 셔틀을 서비스 시작하였습니다.",채권,"400,026,000","450,714,000","400,026,000",2022-11-29,IT·영상,113%,155,펀딩포유,64,"35,050,737,870","26,213,347,880","8,837,389,990","677,388,000","1,648,052,083","-3,350,338,775","-4,014,780,171"
브릿지벤처스,성공,브릿지벤처스는 매 순간 지금보다 더 깨끗한 에너지를 만들고 제공하여 사회에 공헌하는 것을 사명으로 하는 기업입니다. 초기 사업매칭부터 진행관리까지 최종 소비자에게 전달되는 전과정에서 더 깨끗하고 저렴한 에너지 사업을 하려고 노력합니다. 그것이 결국 우리 사회와 후손을 위한 길이라 믿습니다.,주식,"550,000,000","510,000,000","510,000,000",2022-11-30,IT·영상,93%,2,엑스퀘어,1,"649,158,662","118,341,527","530,817,135","199,200","224,680,149","34,604,014","92,234,048"
하이어플레이스,성공,"㈜하이어플레이스는 드론/VR 영상을 통한 캠핑장 현장 정보제공과 캠퍼들을 위한 캠핑장 검색, 캠핑장 예약 시스템, 캠핑장 운영주들을 위한 예약관리시스템을 제공하는 “리얼그라운드” 플랫폼을 구축 운영하고 있습니다.",주식,"20,000,000","25,000,000","20,000,000",2022-11-28,도소매,125%,5,IBK투자증권,9,,,,,,,
케어슨,성공,방사선 저감과 차폐에 관한 연구와 제품 개발,채권,"149,000,000","153,380,000","149,000,000",2022-11-25,제조,103%,68,펀딩포유,6,"1,062,325,150","769,999,201","292,355,949","309,680,000","673,016,683","65,967,097","40,275,322"
온공투영화데시벨,종료,영화 <데시벨>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"100,000,000","41,400,000",0,2022-11-23,IT·영상,41%,49,펀더풀,1,"103,740,753","105,500,000","-1,759,247","5,000,000",,"6,760,240","6,759,247"
미래오성모빌리티,성공,"(주)미래오성모빌리티는 중화권을 대상으로 차량호출,스마트주차,전기차 충전등 통합 모빌리티 서비스를 제공하는 혁신형 모빌리티플랫폼 사업자입니다 ",주식,"54,000,000","126,099,000","54,000,000",2022-11-24,IT·영상,234%,28,아시아크라우드펀딩,10,"2,705,605,394","1,165,831,963","1,539,773,431","2,000,000,000","255,678,002","39,488,545","41,682,206"
선트리즈,성공,"선트리즈는 햇살처럼 반짝이는 감각적인 기획과, 창조적인 활동을 가속화하는 트리즈 씽킹을 기반으로, 4차 산업혁명 시대의 교육 현장 니즈에 부응하는 가치있는 상품들을 개발,유통하고 21세기 인재 양성에 꼭 필요한 창의융합 IT 교육상품군들을 지속적으로 연구,개발하는 컨텐츠 기반 교육전문 회사입니다",주식,"50,000,000","110,000,000","50,000,000",2022-11-23,도소매,220%,21,아시아크라우드펀딩,4,"281,949,632","182,453,620","99,496,012","50,000,000","200,152,405","41,766,113","40,902,187"
벨락,성공,"㈜벨락은 60년 전통 스테인리스 주방용품 전문 제조기업인 한일에스티에스로부터 분사된 기업으로, 그 기술력을 바탕으로 우수한 제품 라인업을 선보이며 국내 캠퍼들에게 사랑받고 있는 브랜드입니다. ",주식,"105,000,000","99,050,000","99,050,000",2022-11-19,제조,94%,46,크라우디,8,"605,375,618","305,942,261","299,433,357","80,000,000","2,904,134,550","237,731,258","217,199,723"
발레앤모델,성공,세계 최고의 발레 학교인 러시아 볼쇼이 발레 교육 프로그램을 기초로 영어교육 학원과 AI를 이용한 발레 프로그램을 개발하고 있는 스타트업입니다.,주식,"100,002,000","109,266,000","100,002,000",2022-11-18,교육,109%,51,펀딩포유,17,"2,647,830,262","1,839,570,128","808,260,134","885,086,800","1,069,123,130","-702,930,466","-768,840,305"
비웨이브,성공,"비웨이브(주)는 뇌파와 심박 변이도와 같은 정신의학 분야의 바이오 마커를 통해 개인 맞춤형 진료 및 치료가 가능하도록 하는 AI 진단 기술을 보유한 회사입니다.
",주식,"900,045,000","812,430,000","812,430,000",2022-11-17,전문기술,90%,108,크라우디,7,"248,922,736","123,829,902","125,092,834","44,445,000","23,578,180","-104,248,672","-78,234,440"
온공투뮤지컬드라큘라,종료,뮤지컬 <드라큘라> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"300,000,000","43,100,000",0,2022-11-15,IT·영상,14%,50,펀더풀,1,,,,,,,
에브라임인터내셔널,성공,원목가구와 테이블을 제작 유통 판매 하는 회사이며 공유 경제가 활성화 되는 시장에 맞추어 전통산업 분야인 가구제조업을 IT화 하여 구독서비스를 개발하고 있습니다,채권,"90,000,000","90,384,000","90,000,000",2022-11-14,제조,100%,50,펀딩포유,11,"972,062,808","708,045,963","264,016,845","61,559,000","708,608,315","75,621,217","70,767,482"
피씨엔씨,성공,personal curation을 목표로 AI기반의 개인맞춤형 재미있는 독서지원서비스를 진행하고 있는 에튜테크 전문기업 ,주식,"50,000,000","51,000,000","50,000,000",2022-11-11,교육,102%,18,오마이컴퍼니,8,"327,864,711","113,274,106","214,590,605","305,000,000","229,268,108","-85,952,986","-45,299,312"
초송,종료,"주식회사 초송은 낚시와 캠핑을 즐겨하는 사람들,특히 일교차가 심한 봄,가을캠핑 중 추위로 인해 어려움을 겪는 사람들이 장소에 구애받지 않고 전기 없이 사용가능한 온수 보일러를 개발하여 제조 및 유통하는 벤처기업입니다.",주식,"80,000,000","5,000,000",0,2022-11-09,제조,6%,1,아시아크라우드펀딩,6,"445,954,692","285,751,309","160,203,383","133,330,000","15,415,470","-16,285,951","-7,055,987"
스테이폴리오,종료,머물고 싶은 좋은 스테이를 큐레이팅하는 스테이폴리오,채권,"150,000,000","32,000,000",0,2022-11-08,도소매,21%,16,크라우디,59,"8,992,838,581","3,783,394,094","5,209,444,487","137,575,000","3,488,884,382","-318,783,485","-28,087,414"
일학교,종료,"주식회사 일학교는 대한민국 최대 규모의 오픈마켓 비트 커머스 플랫폼 '제이원비츠'를 운영하고 있습니다.
작곡가와 음원 제작자는 플랫폼을 통해 비트음원을 직접 거래할 수 있으며, 당사는 그 과정에서 확보한 음원 IP를 통해 다양한 콘텐츠를 제작, 제공합니다.",주식,"50,003,800","1,009,800",0,2022-11-09,IT·영상,2%,2,크라우디,3,"99,412,408","215,572,820","-116,160,412","21,481,600","1,878,566","-271,284,361","-198,714,277"
온공투영화유령,종료,영화 <유령> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"200,000,000","63,800,000",0,2022-11-03,IT·영상,32%,76,펀더풀,1,,,,,,,
미래오성모빌리티,성공,"(주)미래오성모빌리티는 중화권을 대상으로 차량호출,스마트주차,전기차 충전등 통합 모빌리티 서비스를 제공하는 혁신형 모빌리티플랫폼 사업자입니다 ",주식,"50,000,000","101,400,000","50,000,000",2022-10-28,IT·영상,203%,22,아시아크라우드펀딩,10,"2,705,605,394","1,165,831,963","1,539,773,431","2,000,000,000","255,678,002","39,488,545","41,682,206"
라카이코리아,성공,Z세대를 위한 세계 최고의 ESG D2C 쇼핑 플랫폼입니다.,주식,"300,000,000","282,450,000","282,450,000",2022-10-25,도소매,94%,160,펀딩포유,15,"3,357,086,519","1,613,026,066","1,744,060,453","500,000,000","9,978,269,489","1,006,612,004","72,668,034"
정광스틸,종료,"㈜정광스틸은 건설사로 부터 철근가공 의뢰를 받아 공장에서 절단,가공하여 건설현장으로 납품하는 기업입니다. 선조립 특허등 3개의 특허와 디자인등록증 6건 등 건설현장 안전 및 공기단축등을 위한 계속적인 기술개발을 하고 있습니다.",주식,"50,052,000","25,628,000",0,2022-10-25,제조,51%,20,크라우디,28,"11,449,521,183","6,430,337,106","5,019,184,077","958,000,000","18,421,346,975","931,630,150","954,384,534"
엑스렌,성공,"엑스렌은 매 순간 지금보다 더 깨끗한 에너지를 만들고 제공하여 사회에 공헌하는 것을 사명으로 하는 기업입니다. 초기 사업지 개발부터 발전운영, 최종 소비자에게 전달되는 전과정에서 더 깨끗하고 저렴한 에너지 사업을 하려고 노력합니다. 그것이 결국 우리 사회와 후손을 위한 길이라 믿습니다.",채권,"644,782,000","665,005,000","644,782,000",2022-10-24,기타,103%,39,엑스퀘어,2,"3,480,000,680","2,738,950,583","741,049,797","261,651,000",,"-30,941,570","-133,666,896"
키즐코리아,종료,"3,600대 택시 중심의 광고·미디어 회사",주식,"50,015,000","2,858,000",0,2022-10-14,전문기술,6%,2,크라우디,9,"855,380,259","1,081,200,222","-225,819,963","21,000,000","253,310,210","-261,848,205","-246,819,963"
지엘텍,성공,세계 최초 Color Anodizing 처리 가능한 알루미늄 합금 소재 특허 기술 및 양산 능력을 보유한 보유다이캐스팅 & 아노다이징 전문업체,채권,"190,008,000","190,983,000","190,008,000",2022-10-13,제조,101%,92,펀딩포유,14,"8,902,671,442","7,684,880,473","1,217,790,969","381,547,000","7,282,278,111","213,392,337","110,245,550"
온공투영화인생은아름다워,성공,영화 <인생은 아름다워> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"350,000,000","348,300,000","348,300,000",2022-10-07,IT·영상,100%,302,펀더풀,1,,,,,,,
볼드라이프,종료,"당사는 세계 최초 수직 다림질 시 인장력을 형성시켜 주는 기능성 행거 ""윙핏 행거""를 개발하였습니다. 
다림질에서 핵심이 되는 인장력을 형성하는 기술을 확보하여 앞으로도 관련 분야를 리딩하는 기업으로 세계적인 전문가가 되기 위한 로드맵이 수립되어 있습니다.",주식,"30,016,000","3,248,000",0,2022-09-22,제조,11%,4,크라우디,4,"585,575,719","455,814,061","129,761,658","97,000,000","656,621,514","57,893,535","49,231,900"
미래오성모빌리티,성공,"(주)미래오성모빌리티는 중화권을 대상으로 차량호출,스마트주차,전기차 충전등 통합 모빌리티 서비스를 제공하는 혁신형 모빌리티플랫폼 사업자입니다 ",주식,"55,500,000","114,352,200","55,500,000",2022-09-15,IT·영상,206%,24,아시아크라우드펀딩,10,"2,705,605,394","1,165,831,963","1,539,773,431","2,000,000,000","255,678,002","39,488,545","41,682,206"
마이비,성공,웰니스기반 간편관리식품(HMR) 연구개발,주식,"100,034,125","88,022,075","88,022,075",2022-09-09,제조,88%,49,펀딩포유,13,"695,054,884","1,583,828,955","-888,774,071","169,706,500","3,940,818,507","-330,655,020","-370,293,763"
마로로봇테크,성공,로봇의 위치인식 핵심 역량 기술인 카메라 비전 기술과 모션제어 기술을 이용한 물류로봇과 주차로봇 등 산업용 로봇 생산 전문기업,주식,"250,002,000","254,334,000","250,002,000",2022-09-08,제조,102%,110,펀딩포유,13,"2,533,832,222","1,147,077,945","1,386,754,277","619,170,000","1,416,399,800","330,979,085","102,101,576"
피플리,성공,피플리는 어렵게 느껴질 수 있는 전시회나 비엔날레에 첨단기술과 새로운 큐레이션 시스템을 접목하여 사람들이 쉽게 전시를 감상할 수 있도록 하는 새로운 전시 관람 문화를 선도하고 있는 기업입니다.,채권,"400,000,000","371,200,000","371,200,000",2022-09-01,IT·영상,93%,316,펀더풀,40,"1,442,715,768","1,055,573,969","387,141,799","150,000,000","1,546,867,008","30,146,134","57,670,322"
와이즈에스엔티,성공,"다양한 분야에서 사용될 수 있는 고감도 촉각센서(Tactile Sensor)를 고객의 용도에 맞게 개발, 생산하는 연구개발업체입니다. ",채권,"200,025,000","206,430,000","200,025,000",2022-08-26,제조,103%,98,펀딩포유,7,"2,322,384,075","1,669,383,051","653,001,024","288,065,000","1,271,354,840","90,281,514","48,867,841"
아트블렌딩,성공,아트 컨설팅 및 매니지먼트 전문 회사,채권,"100,000,000","101,500,000","100,000,000",2022-08-26,기타,102%,45,크라우디,4,"290,026,362","262,478,093","27,548,269","1,010,000","114,269,028","-81,189,131","15,560,930"
빈집프로젝트2,성공,트래블 <빈집프로젝트2>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"300,000,000","302,000,000","300,000,000",2022-08-26,기타,101%,83,펀더풀,1,,,,,,,
온공투영화헌트,성공,영화 <헌트> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"300,000,000","392,800,000","300,000,000",2022-08-22,IT·영상,131%,615,펀더풀,1,,,,,,,
비에스소프트,성공,비에스소프트는 일상에서 겪고 있는 음성 인식 단계의 소음 문제를 해결하고 있는 기업입니다. AI를 기반으로 입력된 음성 데이터의 화자 분리 및 소음을 제거하여 정확도 높은 음성 인식이 가능합니다.,채권,"130,007,000","135,285,000","130,007,000",2022-08-19,IT·영상,104%,39,크라우디,11,"1,191,973,960","885,661,316","306,312,644","105,555,000","1,411,578,286","19,743,012","68,644,300"
온공투마티스재즈,성공,미술품<앙리 마티스 재즈>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"300,000,000","285,000,000","285,000,000",2022-08-19,기타,95%,149,펀더풀,1,,,,,,,
미래오성모빌리티,성공,"(주)미래오성모빌리티는 중화권을 대상으로 차량호출,스마트주차,전기차 충전등 통합 모빌리티 서비스를 제공하는 혁신형 모빌리티플랫폼 사업자입니다 ",주식,"52,500,000","97,860,000","52,500,000",2022-08-23,IT·영상,186%,22,아시아크라우드펀딩,10,"2,705,605,394","1,165,831,963","1,539,773,431","2,000,000,000","255,678,002","39,488,545","41,682,206"
온공투영화한산,성공,영화 <한산> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"500,000,000","673,700,000","500,000,000",2022-08-04,IT·영상,135%,798,펀더풀,1,,,,,,,
플로트론,종료,플로트론은 유체 측정 및 제어분야 국내 선도기업입니다,주식,"490,000,000","8,302,000",0,2022-08-08,제조,2%,4,아시아크라우드펀딩,54,"29,095,932,294","17,954,738,411","11,141,193,883","3,097,963,000","9,491,750,890","428,134,518","850,649,756"
라카이코리아,성공,Z세대를 위한 세계 최고의 ESG D2C 쇼핑 플랫폼입니다.,주식,"400,050,000","422,550,000","400,050,000",2022-07-29,도소매,106%,300,펀딩포유,15,"3,357,086,519","1,613,026,066","1,744,060,453","500,000,000","9,978,269,489","1,006,612,004","72,668,034"
온공투뮤지컬다웃파이어,성공,뮤지컬 <미세스 다웃파이어> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"430,000,000","439,600,000","430,000,000",2022-07-25,IT·영상,102%,330,펀더풀,1,,,,,,,
슈퍼트랙,성공,서울대 MBA 동문들이 모여 2015년도에 창업한 코딩 및 IT 교육 전문 기업,주식,"92,003,400","92,003,400","92,003,400",2022-07-15,IT·영상,100%,42,크라우디,9,"1,290,624,618","1,054,846,752","235,777,866","114,017,000","1,769,369,729","34,886,921","10,886,808"
애드모션,성공,애드모션(주)은 광고주와 소비자를 연결하는 토탈 온라인 광고 및 디지털 마케팅 에이전시입니다,주식,"50,000,000","50,000,000","50,000,000",2022-07-14,전문기술,100%,1,아시아크라우드펀딩,2,,,,,,,
온마플랫폼,성공,(주)온마플랫폼은 온라인 마케팅에 필요한 모든 전문가를 연결하고 광고대행서비스를 제공하는 온라인 마케팅 휴먼 클라우드 플랫폼사업자입니다,주식,"50,000,000","50,000,000","50,000,000",2022-07-14,IT·영상,100%,1,아시아크라우드펀딩,5,,,,,,,
온공투영화범죄도시,성공,영화<범죄도시>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"1,000,000,000","1,350,600,000","1,000,000,000",2022-07-12,IT·영상,135%,"1,012",펀더풀,1,,,,,,,
그린앤프로덕트,종료,그린앤프로덕트는 기업과 단체들이 자원순환제품으로 환경적 실천 및 ESG경영을 할 수 있도록 돕는 자원순환 제품 솔루션 기업입니다.,채권,"50,000,000","7,000,000",0,2022-07-07,도소매,14%,4,오마이컴퍼니,4,"262,231,739","111,234,009","150,997,730","100,000,000","591,796,756","23,751,162","50,498,117"
업보트엔터,성공,"업보트엔터는  모든 사운드를 데이터화하고,  이를 인공지능으로 학습하여 우리가 원하는 사운드를 만들고, 이를 기반으로  누구나  능동적으로 저작권통제가 가능한  기능성 음원으로 로 라이프스타일 음원사업을 하는 사운드 산업의 비즈니스 모델을 혁신하는 기업입니다. ",주식,"180,000,000","145,000,000","145,000,000",2022-07-07,전문기술,81%,6,크라우디,25,"447,940,136","741,517,609","-293,577,473","110,000,000","474,917,038","-695,307,863","-514,673,019"
벤처스랩,종료,구강 관리용품 개발 등 독창적인 라이프스타일 브랜드 제품’을 만들어 서비스를 제공하고 있는 벤처기업입니다. ,채권,"50,000,000","16,600,000",0,2022-07-01,전문기술,33%,11,펀딩포유,5,"1,362,580,087","1,159,029,535","203,550,552","200,000,000","1,335,576,321","365,449,271","340,480,386"
코지샵,성공,당사는 커튼 및 블라인드를 개발하여 제조/판매하는 회사입니다. ,채권,"100,045,000","96,415,000","96,415,000",2022-06-29,도소매,96%,35,펀딩포유,15,"3,608,237,354","2,522,518,695","1,085,718,659","763,500,000","3,063,424,142","174,189,912","97,122,462"
마스팜,성공,클라우드 AI-SaaS플랫폼 기반 그린하우스 수경재배 토마토/파프리카 생산량예측-병충해진단 및 환경제어 자율재배 규격 서비스를 위한 융복합 3세대 스마트팜시스템,주식,"280,000,000","269,740,000","269,740,000",2022-06-28,IT·영상,96%,173,크라우디,2,"394,034,510","219,957,894","174,076,616","147,368,000",,"-184,283,611","42,704,077"
지에스씨알오,종료,의료기기와 건기식 분야 등에서 기관의 의뢰를 받아 객관적인 실험결과를 전달하는 CRO,주식,"30,000,000","5,100,000",0,2022-06-28,전문기술,17%,7,크라우디,7,"587,492,023","457,132,532","130,359,491","150,000,000","529,064,091","72,054,654","1,482,772"
쿼럼바이오,성공,"당사는 2013년 서울대 교수들을 주축으로 설립된 바이오기업입니다. 세균들의 의사소통 수단인 쿼럼센싱에 관한 연구를 통해, 세계최초로 쿼럼센싱 억제제의 제품화에 성공하였습니다.",주식,"55,000,000","56,980,000","55,000,000",2022-06-18,제조,104%,27,오마이컴퍼니,11,"1,575,611,413","1,118,776,414","456,834,999","948,042,500","1,016,156,413","-1,709,276,651","-1,750,463,415"
체인지포인트,성공,"16개국 잔돈을 국내 최저 수수료에 편리하게 환전하여 
계좌로 입금받을 수 있는 동전환전소 서비스를 제공합니다.(동전과 지폐를 함께 취급합니다.)",주식,"65,717,280","63,664,320","63,664,320",2022-06-16,기타,97%,53,와디즈파이낸스,5,"166,587,485","333,546,547","-166,959,062","10,638,400","103,540,026","-228,620,546","-130,585,102"
에스엠플래닛,성공,"에스엠플래닛은 시각 장애인 전용 스마트폰 런처를 개발,보급하는 인증 사회적기업입니다.",채권,"40,000,000","41,500,000","40,000,000",2022-06-14,도소매,104%,12,오마이컴퍼니,14,"947,670,615","710,582,769","237,087,846","50,000,000","513,205,752","-71,699,355","81,519,713"
티엘엔지니어링,성공,"(주)티엘엔지니어링은 클린룸 엔지니어링 전문 기업으로 20년 된 장인 기업입니다.  
전자, 반도체, 제약, 바이오 등 다양한 분야에서 대기업에서 코스닥기업, 그리고 외국계 기업 고객에 이르기까지 수많은 실적을 보유한 실력 있는 회사입니다.

",주식,"300,060,000","330,532,760","300,060,000",2022-06-10,기타,110%,119,와디즈파이낸스,18,"5,047,036,440","3,505,687,257","1,541,349,183","600,000,000","8,805,945,291","607,338,343","517,196,752"
롤링필로우,성공,수면 관련 헬스케어용 베개 제품을 제조 판매하고 있는 스마트 수면정보 플랫폼 기업입니다.,주식,"50,016,000","50,208,000","50,016,000",2022-06-04,제조,100%,20,펀딩포유,4,"421,035,409","622,837,798","-201,802,389","51,294,500","623,517,010","5,683,742","10,305,811"
온공투영화범죄도시,성공,영화<범죄도시>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"1,000,000","1,400,000","1,000,000",2022-06-03,IT·영상,140%,"1,400",펀더풀,1,,,,,,,
미래그린케미칼,성공,"미래그린케미칼은 석유화학, 바이오에너지 전문 상사입니다.
현재 석유화학 제품을 전문적으로 트레이딩하고 있으며, 향후 CNSL 사업을 통해 바이오에너지 산업으로의 진출을 계획하고 있습니다.",주식,"250,056,000","247,489,000","247,489,000",2022-06-01,도소매,99%,80,크라우디,9,"4,663,774,624","3,216,091,827","1,447,682,797","650,000,000","44,249,724,141","753,123,379","658,409,423"
한마음에프앤씨,성공,한마음F&C는 정직하고 신뢰할 수 있는‘착한 장례’를 제공함으로써 올바른 선진장례문화를 전파하는 장례 전문 사회적기업입니다.,채권,"50,000,000","47,000,000","47,000,000",2022-05-09,기타,94%,14,오마이컴퍼니,15,"2,342,426,693","1,668,391,640","674,035,053","300,000,000","5,007,817,527","23,635,089","237,500,712"
프라우들리,성공,프라우들리는 한국 전통의 공간이 한옥을 세련된 공간으로 바꾸고 있습니다. 전통적인 숙박 산업에 혁신을 추구합니다.,채권,"200,000,000","213,000,000","200,000,000",2022-05-06,기타,107%,107,펀더풀,35,"1,305,088,813","646,574,176","658,514,637","6,014,800","705,363,418","-148,647,224","16,913,428"
에스제이기술,종료,당사는 강진군 산업단지에 반도체 폐황산을 묽은황산 제품으로 생산하고 이를 활용하여 산업 자원인 석고생산과 레드머드 폐기물을 활용한 황산염계산화철을 생산하여 고 부가가치 사업을 추진하는 환경회사입니다.,주식,"250,000,000","12,500,000",0,2022-05-05,제조,5%,6,오마이컴퍼니,6,"602,685,203","867,811,569","-265,126,366","200,000,000",,"-286,566,953","-270,524,489"
